date,exercise_name,raw_exercise_name,top_weight_kg,top_reps,notes,source_row,import_status
2022-06-19,Dips,dips,86,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus erstem späterem vollständigem Dips-Eintrag vom 2022-06-23 übernommen,26,actual_entry_in_incomplete_workout;filled_missing_weight_from_next_exercise;filled_missing_reps_from_next_exercise
2022-06-23,Dips,dips,86,12,eigen+kette; Fehlende Gewicht aus erstem späterem vollständigem Dips-Eintrag vom 2022-09-07 übernommen,39,filled_missing_weight_from_next_exercise
2022-06-27,Kniebeuge,squats,80,8,,50,low_exercise_count
2022-06-27,Wadenpresse,wadenpresse,45,12,,51,low_exercise_count
2022-06-27,Beinpresse,beinpresse,225,8,,52,low_exercise_count
2022-06-27,Beinstrecker,leg extension,72.5,10,Fehlende Gewicht/Reps aus letztem vollständigem Beinstrecker-Eintrag vom 2022-06-22 übernommen,53,low_exercise_count;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-06-27,Beinbeuger,leg curls,85,8,Fehlende Gewicht/Reps aus letztem vollständigem Beinbeuger-Eintrag vom 2022-06-22 übernommen,54,low_exercise_count;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-06-28,Bankdrücken,bankdrücken,70,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Schrägbankdrücken,schrägbankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Preacher Curls,Scott curls,15,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Bizepsmaschine,bizepsmaschine,25,10,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Schulterdrücken,schulterdrücken,12,12,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Schrägbank Kurzhantel,schrägbank kurzhantel,18,12,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-06-28,Brustpresse,decline chest press,70,12,Aus vorherigem vollständigem Workout vom 2022-06-26 übernommen,copied_from_2022-06-26,filled_from_previous_workout
2022-07-01,Bankdrücken,bankdrücken,70,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,60,ok;actual_entry_in_incomplete_workout
2022-07-01,Schrägbankdrücken,schrägbankdrücken,50,8,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,61,ok;actual_entry_in_incomplete_workout
2022-07-01,Preacher Curls,Scott curls,15,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Preacher Curls-Eintrag vom 2022-06-28 übernommen,62,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-07-01,Bizepsmaschine,bizepsmaschine,25,10,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-01,Schulterdrücken,schulterdrücken,12,12,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-01,Schrägbank Kurzhantel,schrägbank kurzhantel,18,12,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-01,Brustpresse,decline chest press,70,12,Aus vorherigem vollständigem Workout vom 2022-06-28 übernommen,copied_from_2022-06-28,filled_from_previous_workout
2022-07-04,Kniebeuge,squats,50,15,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Beinpresse,Beinpresse,200,8,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Wadenpresse,wadenpresse,45,12,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Beinbeuger,leg curls,87.5,10,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Beinstrecker,leg extension,80,12,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-04,Bauchmaschine,Bauchmaschine,12,15,Aus vorherigem vollständigem Workout vom 2022-07-03 übernommen,copied_from_2022-07-03,filled_from_previous_workout
2022-07-09,Bankdrücken,bankdrücken,70,10,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Schrägbankdrücken,schrägbankdrücken,50,8,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Bizepscurls,bizepscurls,15,12,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Trizeps Dips Kabelzug,Trizeps kabel,21,15,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Schulterdrücken,schulterdrücken,14,12,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Schrägbank Kurzhantel,schrägbank kurzhantel,12,20,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Butterfly,butterfly kabel,12,20,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Brustpresse,lower chest,70,10,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Latzug Kabel,latziehen kabelzug,57,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2022-06-23 übernommen,83,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-07-11,Bankdrücken,bankdrücken,70,10,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Schrägbankdrücken,schrägbankdrücken,50,8,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Bizepscurls,bizepscurls,15,12,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Trizeps Dips Kabelzug,Trizeps kabel,21,15,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Schulterdrücken,schulterdrücken,14,12,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Schrägbank Kurzhantel,schrägbank kurzhantel,12,20,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Butterfly,butterfly kabel,12,20,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Brustpresse,lower chest,70,10,Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout
2022-07-11,Latzug Kabel,latziehen kabelzug,57,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-07-09 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2022-07-09 übernommen,copied_from_2022-07-09,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-07-11,Kniebeuge,squats,50,15,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Kniebeuge-Eintrag vom 2022-07-04 übernommen,90,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-07-12,Butterfly,butterfly's,12,20,Fehlende Gewicht/Reps aus letztem vollständigem Butterfly-Eintrag vom 2022-07-11 übernommen,100,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-09-02,Brustpresse,decline chest press,80,12,Aus vorherigem vollständigem Workout vom 2022-07-12 übernommen,copied_from_2022-07-12,filled_from_previous_workout
2022-09-02,Bankdrücken,Bankdrücken,65,8,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,102,swapped_weight_reps;actual_entry_in_incomplete_workout
2022-09-02,Hammer Curls,Hammer curls,12,12,Aus vorherigem vollständigem Workout vom 2022-07-12 übernommen,copied_from_2022-07-12,filled_from_previous_workout
2022-09-02,Schrägbankdrücken,schrägbankdrücken,15,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Schrägbankdrücken-Eintrag vom 2022-07-12 übernommen,103,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-09-02,Schulterdrücken,schulterdrücken,12,15,Aus vorherigem vollständigem Workout vom 2022-07-12 übernommen,copied_from_2022-07-12,filled_from_previous_workout
2022-09-02,Butterfly,butterfly's,12,20,Aus vorherigem vollständigem Workout vom 2022-07-12 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Butterfly-Eintrag vom 2022-07-12 übernommen,copied_from_2022-07-12,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-09-07,Brustpresse,decline chest press,80,12,Aus vorherigem vollständigem Workout vom 2022-09-02 übernommen,copied_from_2022-09-02,filled_from_previous_workout
2022-09-07,Bankdrücken,Bankdrücken,65,8,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-09-02 übernommen,copied_from_2022-09-02,filled_from_previous_workout
2022-09-07,Hammer Curls,Hammer curls,12,12,Aus vorherigem vollständigem Workout vom 2022-09-02 übernommen,copied_from_2022-09-02,filled_from_previous_workout
2022-09-07,Schrägbankdrücken,schrägbankdrücken,15,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-09-02 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Schrägbankdrücken-Eintrag vom 2022-09-02 übernommen,copied_from_2022-09-02,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-09-07,Schulterdrücken,schulterdrücken,12,15,Aus vorherigem vollständigem Workout vom 2022-09-02 übernommen,copied_from_2022-09-02,filled_from_previous_workout
2022-09-07,Butterfly,butterfly's,12,20,Aus vorherigem vollständigem Workout vom 2022-09-02 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Butterfly-Eintrag vom 2022-09-02 übernommen,copied_from_2022-09-02,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-09-07,Latzug Kabel,latziehen kabelzug,57,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,108,swapped_weight_reps;actual_entry_in_incomplete_workout
2022-09-07,Langhantel Rudern,Rudern langhantel,60,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,109,swapped_weight_reps;actual_entry_in_incomplete_workout
2022-09-07,Dips,dips,86,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus erstem späterem vollständigem Dips-Eintrag vom 2022-10-07 übernommen,110,actual_entry_in_incomplete_workout;filled_missing_weight_from_next_exercise;filled_missing_reps_from_next_exercise
2022-10-07,Brustpresse,decline chest press,80,12,Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen,copied_from_2022-09-07,filled_from_previous_workout
2022-10-07,Bankdrücken,bankdrücken,60,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,113,swapped_weight_reps;actual_entry_in_incomplete_workout
2022-10-07,Hammer Curls,Hammer curls,12,12,Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen,copied_from_2022-09-07,filled_from_previous_workout
2022-10-07,Schrägbankdrücken,schrägbankdrücken,15,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Schrägbankdrücken-Eintrag vom 2022-09-07 übernommen,copied_from_2022-09-07,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-10-07,Schulterdrücken,schulterdrücken,12,15,Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen,copied_from_2022-09-07,filled_from_previous_workout
2022-10-07,Butterfly,butterfly's,12,20,Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Butterfly-Eintrag vom 2022-09-07 übernommen,copied_from_2022-09-07,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2022-10-07,Latzug Kabel,latziehen kabelzug,57,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen,copied_from_2022-09-07,filled_from_previous_workout
2022-10-07,Langhantel Rudern,Rudern langhantel,60,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen,copied_from_2022-09-07,filled_from_previous_workout
2022-10-07,Dips,dips,86,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-09-07 übernommen; Fehlende Gewicht/Reps aus erstem späterem vollständigem Dips-Eintrag vom 2025-08-05 übernommen,copied_from_2022-09-07,filled_from_previous_workout;filled_missing_weight_from_next_exercise;filled_missing_reps_from_next_exercise
2023-04-11,Bankdrücken,bankdrücken,50,10,,117,swapped_weight_reps
2023-04-11,Latzug Kabel,latziehen kabel,57,12,Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2022-10-07 übernommen,118,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-04-11,,walk in,,,walk in,120,workout_note_only
2023-04-11,Latzug Kabel,latziehen kabel,45,12,,121,swapped_weight_reps
2023-04-11,Schrägbank Kurzhantel,schrägbank kurzhantel,12.5,12,,122,inferred_weight_reps
2023-04-11,Bankdrücken,Langhantel bankdrücken,50,10,,123,swapped_weight_reps
2023-04-11,Vorgebeugtes Rudern,Rudern vorgebeugt,50,12,,124,swapped_weight_reps
2023-04-11,Schulterdrücken Kurzhantel,schulterdrücken kh,7.5,12,,125,inferred_weight_reps
2023-04-11,Rückenstrecker,rückenstrecker,12,15,eigen; Fehlende Reps aus erstem späterem vollständigem Rückenstrecker-Eintrag vom 2023-05-08 übernommen,126,filled_missing_reps_from_next_exercise
2023-04-11,Beinstrecker,beinstrecker,45,12,,127,swapped_weight_reps
2023-04-11,Trizeps Dips Kabelzug,Trizeps kabel,35,15,Fehlende Reps aus letztem vollständigem Trizeps Dips Kabelzug-Eintrag vom 2022-07-11 übernommen,128,filled_missing_reps_from_previous_exercise
2023-05-08,Bankdrücken,bankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Latzug Kabel,latziehen kabel,45,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-08,Latzug Kabel,latziehen kabel,45,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Schrägbank Kurzhantel,schrägbank kurzhantel,12.5,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Bankdrücken,Langhantel bankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Vorgebeugtes Rudern,Rudern vorgebeugt,50,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Schulterdrücken Kurzhantel,schulterdrücken kh,7.5,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Rückenstrecker,rückenstrecker,12,15,eigen; Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen; Fehlende Reps aus erstem späterem vollständigem Rückenstrecker-Eintrag vom 2023-05-15 übernommen,copied_from_2023-04-11,filled_from_previous_workout;filled_missing_reps_from_next_exercise
2023-05-08,Beinstrecker,beinstrecker,45,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Trizeps Dips Kabelzug,Trizeps kabel,35,15,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen; Fehlende Reps aus letztem vollständigem Trizeps Dips Kabelzug-Eintrag vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout;filled_missing_reps_from_previous_exercise
2023-05-08,Kniebeuge,squats,50,20,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht aus letztem vollständigem Kniebeuge-Eintrag vom 2022-07-11 übernommen,130,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise
2023-05-15,Bankdrücken,bankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout
2023-05-15,Latzug Kabel,latziehen kabel,45,12,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-15,Latzug Kabel,latziehen kabel,45,12,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout
2023-05-15,Schrägbank Kurzhantel,schrägbank kurzhantel,12.5,12,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout
2023-05-15,Bankdrücken,bankdrücken,50,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Bankdrücken-Eintrag vom 2023-05-15 übernommen,141,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-15,Vorgebeugtes Rudern,Rudern vorgebeugt,50,12,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout
2023-05-15,Schulterdrücken Kurzhantel,schulterdrücken kh,7.5,12,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout
2023-05-15,Rückenstrecker,rückenstrecker,12,15,eigen; Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen; Fehlende Reps aus erstem späterem vollständigem Rückenstrecker-Eintrag vom 2023-07-11 übernommen,copied_from_2023-05-08,filled_from_previous_workout;filled_missing_reps_from_next_exercise
2023-05-15,Beinstrecker,beinstrecker,45,12,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout
2023-05-15,Trizeps Dips Kabelzug,Trizeps kabel,35,15,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen; Fehlende Reps aus letztem vollständigem Trizeps Dips Kabelzug-Eintrag vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout;filled_missing_reps_from_previous_exercise
2023-05-15,Kniebeuge,squats,50,20,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Kniebeuge-Eintrag vom 2023-05-08 übernommen,140,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-30,Bankdrücken,bankdrücken,60,10,Datum korrigiert von 30.05.3023 zu 30.05.2023,150,swapped_weight_reps
2023-05-30,Beinbeuger,beinbeuger,87.5,10,Fehlende Gewicht/Reps aus letztem vollständigem Beinbeuger-Eintrag vom 2022-07-04 übernommen,151,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-30,Bankdrücken,bankdrücken,60,10,Fehlende Gewicht/Reps aus letztem vollständigem Bankdrücken-Eintrag vom 2023-05-30 übernommen,158,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-30,Latzug Kabel,latziehen,45,12,Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2023-05-15 übernommen,159,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-30,Kniebeuge,squats,50,20,Fehlende Gewicht/Reps aus letztem vollständigem Kniebeuge-Eintrag vom 2023-05-15 übernommen,160,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-30,Kurzhantel Bankdrücken,bankdrücken kurzhantel,20,12,,167,inferred_weight_reps
2023-05-30,Schulterdrücken Kurzhantel,Schulterdrücken kurzhantel,12.5,12,,168,inferred_weight_reps
2023-05-30,Bizeps SZ,sz stange,15,12,,169,inferred_weight_reps
2023-05-30,Bankdrücken,bankdrücken,60,10,Fehlende Gewicht/Reps aus letztem vollständigem Bankdrücken-Eintrag vom 2023-05-30 übernommen,171,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-30,Latzug Kabel,latziehen kabelzug,45,12,Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2023-05-30 übernommen,172,filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-08-05,Schrägbank Kurzhantel,schrägbank kurzhantel,17.5,12,,177,inferred_weight_reps
2023-08-05,Bankdrücken,bankdrücken,60,12,,178,swapped_weight_reps
2023-08-05,Bizeps SZ,bizepscurls sz,15,12,,179,inferred_weight_reps
2023-08-05,Schulterdrücken,schulterdrücken,15,8,,180,inferred_weight_reps
2023-08-05,Hammer Curls,hammer curls seil,40,12,,181,swapped_weight_reps
2023-08-05,Butterfly,butterfly Maschine,60,10,,182,swapped_weight_reps
2023-08-07,Latzug Kabel,latziehen kabel,60,10,,184,swapped_weight_reps
2023-08-07,Kniebeuge,squats,70,8,,185,swapped_weight_reps
2023-08-07,Trizeps Dips Kabelzug,Trizeps dips kabel,20,12,,186,inferred_weight_reps
2023-08-07,Reverse Butterfly,reverse butterfly,40,12,,187,swapped_weight_reps
2023-08-07,Seitheben,seitheben,6,12,,188,inferred_weight_reps
2023-08-09,Latzug Kabel,latziehen kabel,60,10,Aus vorherigem vollständigem Workout vom 2023-08-07 übernommen,copied_from_2023-08-07,filled_from_previous_workout
2023-08-09,Kniebeuge,squats,70,8,Aus vorherigem vollständigem Workout vom 2023-08-07 übernommen,copied_from_2023-08-07,filled_from_previous_workout
